id,name,cat,category_name,assigned_class,set_name,spell_id,active,description
1472,Augmented Whirlwind,1,Class,WARRIOR,Fury Warrior,,0,Whirlwind has 100% chance to repeat itself.
930,Battering Ram,1,Class,WARRIOR,Furious Charge,,0,Furious Charge deals 50% increased damage when you damage an enemy for the first time during that charge.
1489,Concussive Force,1,Class,WARRIOR,Protection Warrior,,0,Increases damage of Concussion Blow by 17%. Increases damage of Concussion Blow by $1F1x of your block chance. Increases damage of Concussion Blow by $2F1x of your block value. Increases damage of Concussion Blow by 11% for each Sunder Armor stack on enemy.
931,Dreadnought,1,Class,WARRIOR,Furious Charge,,0,Increases damage done by $0f1% for each active perk while Furious Charge is active and for 5 seconds after that.
1474,Endless Rage,1,Class,WARRIOR,Fury Warrior,,0,"Your Berserk stacks can now go above maximum, but you start to take damage based on your total health for each stack above maximum. Damage taken from this perk is reduced by 0%."
929,Enduring Path,1,Class,WARRIOR,Furious Charge,,0,Furious Charge deals 5% increased damage for each second you spent charging.
1461,Executor,1,Class,WARRIOR,Arms Warrior,,0,Execute uses all rage and advances Rend by $0f1 seconds for each point of rage spent. This effect applies to all enemies within 8 yards.
932,Explosive Rush,1,Class,WARRIOR,Furious Charge,,0,"When Furious Charge ends, you cause an explosion for 100% melee damage as fire to all enemies within 15 yards."
1458,Grievous Wounds,1,Class,WARRIOR,Arms Warrior,,0,"Bladestorm, Mortal Strike and Overpower hits also apply Rend. If target already had Rend then the duration is increased by 6 seconds (up to 240 seconds). Extending Rend also generates 1 rage."
1462,Hit It Very Hard!,1,Class,WARRIOR,Arms Warrior,,0,"Increases damage of Mortal Strike and Overpower by 10% and an additional $1F1x of your melee haste, but the cooldown is increased by 8 seconds. The bonus damage effect of this perk is doubled if you have at least 2 active perks from this set."
1463,Hit It Very Much!,1,Class,WARRIOR,Arms Warrior,,0,Mortal Strike and Overpower hit up to 4 enemies within 8 yards. If there were no other enemies to hit then the damage is increased by 50% instead. If an enemy survives Mortal Strike or Overpower you have 100% chance to apply Deep Wounds. Increases damage of Bladestorm by 17%.
1465,Immortal Strike,1,Class,WARRIOR,Arms Warrior,,0,Mortal Strike also increases your healing taken by 25% and triggers Second Wind.
1473,Improved Bloodrage,1,Class,WARRIOR,Fury Warrior,,0,Bloodrage has infinite duration and its cooldown is reduced by 30 seconds. While out of combat Bloodrage generates an additional 4 rage. Increases maximum rage by 30.
294,Improved Bloodsurge,1,Class,WARRIOR,Fury Warrior,,0,"Bloodsurge has 100% chance to not be removed when you use Slam. While Bloodsurge is active, your regular melee hits have 15% chance to also Slam for free."
1487,Improved Damage Shield,1,Class,WARRIOR,Protection Warrior,,0,Damage Shield talent triggers when you are attacked in any way and can critically hit. Increases damage of Damage Shield talent by 50% and an additional $1F1x of your block chance.
1470,Improved Death Wish,1,Class,WARRIOR,Fury Warrior,,0,"Increase duration of Death Wish by 75%. If the duration of Death Wish exceeds its cooldown then it's infinite. Remove damage taken penalty from Berserker Stance, Death Wish and Rage perk."
302,Improved Devastate,1,Class,WARRIOR,Protection Warrior,,0,Devastate damage is increased by 66%. Devastate applies a debuff that causes the enemy to take 1% increased damage from you. This effect can stack up to 10 times but can not be applied more often than once every 10 seconds.
1459,Improved Rend,1,Class,WARRIOR,Arms Warrior,,0,Increases damage of Rend by 100%. Rend 75% health bonus is always active.
301,Improved Revenge,1,Class,WARRIOR,Protection Warrior,,0,Revenge damage is increased by 10% and reduces the remaining cooldown of Last Stand by $0f1 seconds. If Last Stand is not on cooldown then hit all enemies within 8 yards and deal more damage equal to $2F1x your shield block chance.
300,Improved Shield Slam,1,Class,WARRIOR,Protection Warrior,,0,Shield Slam's damage is increased by 50% and reduces the remaining cooldown of Shield Wall by $0f1 seconds. If Shield Wall is not on cooldown then hit all enemies within 8 yards and deal more damage equal to $2F1x your shield block chance.
70,Improved Shockwave,1,Class,WARRIOR,Protection Warrior,,0,You take 10% reduced damage for 15 seconds after using Shockwave.
1158,Improved Titan's Grip,1,Class,WARRIOR,Fury Warrior,,0,"Instead of reducing damage done, Titan's Grip increases damage done by 1% while having a two-handed weapon in one hand."
299,Improved Vigilance,1,Class,WARRIOR,Protection Warrior,,0,Vigilance reduces damage taken by an additional 10%. Your regular melee hits have 50% chance to strike all enemies within 8 yards. This effect requires Vigilance talent to be learned.
296,Improved Whirlwind,1,Class,WARRIOR,Fury Warrior,,0,Increases damage of Whirlwind by 10% for each active perk from this set. Increases damage of Bloodthirst by 33%.
927,Infernal Path,1,Class,WARRIOR,Furious Charge,,0,Furious Charge leaves behind a trail of fire that damages enemies for 10% melee damage as fire every 1 seconds.
1126,Reverberations,1,Class,WARRIOR,Protection Warrior,,0,After using Shockwave you heal for 30% of your maximum life over 15 seconds. During this time your block chance is increased by 11%.
1460,Sudden Death,1,Class,WARRIOR,Arms Warrior,,0,"Rend can critically hit. Sudden Death talent is always active, but Execute has 19 seconds cooldown. Your melee haste affects Bladestorm at $2F1x effectiveness."
1464,Taste for Blood,1,Class,WARRIOR,Arms Warrior,,0,If an enemy dies to Mortal Strike or Overpower then reset the cooldown of the other ability. Taste for Blood talent has 100% reduced cooldown. Increase damage of Bladestorm by 200%. Increase damage of Mortal Strike and Overpower by 50%.
1475,Tough as Nails,1,Class,WARRIOR,Fury Warrior,,0,You take less damage the lower your health (up to 15% damage reduction at 0% health).
1225,Baleful Deeds,2,Class,PALADIN,Oathbreaker,,0,"Increases damage of Shadow Nova by 25%, and radius by 1 yard. Shadow Nova is recast for free if any enemy dies from this ability (up to 3 times)."
989,Crusader's Might,2,Class,PALADIN,Retribution Paladin,,0,Crusader Strike has 33% chance to hit an additional time as holy damage. • Empowered: Chance is increased by $1F1x and an additional $1F1x for each offensive Retribution ability on cooldown.
973,Divine Providence,2,Class,PALADIN,Protection Paladin,,0,"Shield of Righteousness triggers 50% of your Holy Shield charges on the target (removal of charges can not be prevented by perks). Hammer of the Righteous has 100% chance to grant a Holy Shield charge. When your Blessing of Sanctuary triggers, you have 66% chance to gain a charge of Holy Shield. Additional charges are generated based on your melee haste bonus. Holy Shield can stack up to 50 when adding charges."
990,Divine Storm,2,Class,PALADIN,Retribution Paladin,,0,Divine Storm deals 10% increased damage. • Empowered: Deal 200% melee damage as holy to all enemies within 10 yards.
988,Executioner,2,Class,PALADIN,Retribution Paladin,,0,Offensive retribution abilities have 10% chance to allow the use of Hammer of Wrath regardless of enemy's health. Hammer of Wrath deals 33% more damage. • Empowered: Hammer of Wrath damage is multiplied by $1F1x.
278,Fist of Reckoning,2,Class,PALADIN,Protection Paladin,,0,Increases damage of Hand of Reckoning by 10%. Hand of Reckoning damages the enemy even if they are already attacking you.
1058,Focused Power,2,Class,PALADIN,Holy Paladin,,0,"Increases the size, damage and healing of the ray by 30%. The ray now follows the target, but you can only have 1 ray active at a time."
1224,Harvester of Sorrow,2,Class,PALADIN,Oathbreaker,,0,"When Nightmare Apparition deals damage, it heals you for $0H+35% SP. If you were already at full health, it deals 25% more damage instead."
